이름,종류,이미지,URL,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,,
쪼코,개,쪼코.jpg,,2024.06.05,암,푸들,갈색,5kg,서울/경기/인천,"안성시","대덕면 신령리",안성롯데캐슬,"아파트 후문 아래쪽
(24.6.6.)",X,없음,,,,"짧은 꼬리
코 아래 사마귀
배에 지방종",,,,,,,,,,,,,,,
포동,개,포동.jpg,,2024.06.12,수,시바,갈색,,서울/경기/인천,"구리시","토평동",장자호수공원,"용마터널
(24. 6. 12 7PM)",,,"주황색 목줄",,,,,,,,,,,,,,,,,,
태양이,개,태양이.jpg,https://open.kakao.com/o/g8gU0dwg,2024.06.08,수,믹스,"검은색
크림색",11kg,서울/경기/인천,"수원시 영통구","원천동",영통현대테라타워,"영덕초 건너 영흥숲
(24.6.14. 3PM)
-> 포획 진행 중",,,,,,접힌 귀,,,,,,,,,,,,,,,
뽀뽀,개,뽀뽀.jpg,,2024.06.18,암,비숑프리제,흰색,8kg,서울/경기/인천,"수원시 팔달구","지동","신세계마트
못골공원",,X,내장칩,,,,"등부분 점 얼룩덜룩
미니 비숑 크기 작음",,,,,,,,,,,,,,,
마루 (경기 광주),개,마루_광주.jpg,https://open.kakao.com/o/g3R8ioyg,2024.06.18,수,리트리버 믹스,베이지색,20kg,서울/경기/인천,"경기 광주시","오포읍 능평동","베르빌아파트
~능원초 사이",,X,없음,"빨간색 목줄
삼각형 손잡이 달린 흰색 리드줄",,,,,,,,,,,,,,,,,,
레오,개,레오_광주.jpg,https://open.kakao.com/o/geJmowyg,2024.06.20,수,믹스,갈색,8kg,전라/광주,"광주시 광산구","수완동 ",윤슬의아침4차,,O,내장칩,,,,"여우같은 생김새
털갈이중",,,,,,,,,,,,,,,
후추,개,후추.jpg,https://open.kakao.com/o/g3R8ioyg,2024.06.20,암,그레이하운드,회색,4kg,서울/경기/인천,"수원시 영통구","매탄동",머내생태공원,,,외장칩,"녹색 목걸이에 인식표
파란색 손잡이 자동리드줄",,,"귀끝 접혀있음
뒷 발가락 흰 털
뒷 목에 땜빵",,,,,,,,,,,,,,,
미소 (금비),개,미소.jpg,https://open.kakao.com/o/gU9bK9xg,2024.06.17,암,스피츠,흰색,5kg,서울/경기/인천,"서울시 성북구","안암동1가","안암래미안
개운산 진입로쪽",,O,내장칩,,,,"넓은 미간
쫑긋 귀
등~엉덩이쪽 털 안난 부분",,,,,,,,,,,,,,,
초롱이,개,초롱이.jpg,https://open.kakao.com/o/giMuzHlg,2024.04.25,수,믹스,흰색,6kg,서울/경기/인천,"평택시","평택동",평택역,"[확실] 코브리독스(평택세교점)
오후 4시 (24.6.03)",,없음,"파란색 철물점 목줄",,,"부정교합
눈물자국
쫑긋 귀",,,,,,,,,,,,,,,
복돌이,개,복돌이.jpg,,2024.06.22,수,말티즈,흰색,4kg,경상/부산/울산/대구,"부산시","서구 충무동",,,,,,,,혀가 나옴,,,,,,,,,,,,,,,
강이,강이,강이.jpg,,2024.06.25,수,믹스,흰색,10kg,서울/경기/인천,"동두천시","송내동",동두천터미널,송내아이파크,,,,,,갈색귀,,,,,,,,,,,,,,,
봉순이,개,봉순이.png,https://open.kakao.com/o/glgGudwg,2024.06.07,암,믹스,검은색,,충청/대전/세종,"보령시(대천)","대천동",해태로 6,,,,,,,"날씬한 체형
코 위 회색털
엉덩이 털 복실
가슴~배 흰털
긴 발톱",,,,,,,,,,,,,,,봉순이
카키,개,카키.jpg,,2024.06.19,수,말티즈,흰색,2kg,강원,"원주시","문막읍 반계리",반계저수지,,,없음,,,,"눈물자국
등에 갈색 털
아래 앞니 없음",,,,,,,,,,,,,,,카키
달이,개,달이.jpg,https://open.kakao.com/o/gHsr9Lzg,2024.06.23,암,믹스,"흰색
갈색",4kg,전라/광주,"광주시 서구","연제동",,스타벅스 앞,,,"오른쪽 눈 체리아이 말린 꼬리",,,,,,,,,,,,,,,,,,
백곰이,개,백곰이.jpg,,2024.06.30,수,진도믹스,흰색,25kg,서울/경기/인천,"인천시 서구","가정동",가정동성당 뒤 공원,,O,없음,"노랑+회색 목줄",,,,,,,,,,,,,,,,,,
뿅,개,뿅.jpg,,2024.06.26,수,보더콜리믹스,"흰색
검은색",10kg,서울/경기/인천,"인천시 동구","창영동",인천세무서 인근,,O,,"빨간색 하네스",,,미용한지 얼마 되지 않음,,,,,,,,,,,,,,,
초코,개,초코.jpg,,2024.07.04,암,카이,"검정색
갈색",15kg,서울/경기/인천,"서울시 중랑구","면목동",마젤란21아파트 사거리,,,,"검은색 하네스
리드줄 착용",,,호구무늬,,,,,,,,,,,,,,,
겨울이,개,겨울이.jpg,https://open.kakao.com/o/gV78t5yg,2024.06.21,수,믹스,흰색,,충청/대전/세종,"당진시","구룡동",160-1,,O,없음,,,,"미용한지 얼마 안됨
피부 검정 반점 많음",,,,,,,,,,,,,,,
