이름,이미지,URL,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",전신 사진,얼굴 사진,그 외 세부 특징,,,,,,,,,,,,,,
난희,난희.jpg,,2021.03.10,암,믹스,"베이지색
흰색",4kg,서울/경기/인천,"안산시 단원구","선부동",달미공원,"경기도 시흥시 목감동
(21.5.5.)",O,내장칩,,,,"세모 얼굴
얼룩무늬 몸통",,,,,,,,,,,,,,
미미 (시츄),미미_시츄.jpg,,2022.07.06,암,시츄,연갈색,2kg,경상/부산/울산/대구,"창원시 진해구","이동",이동택지,,O,없음,"분홍색 실리콘 목줄 이름표",,,"눈 주위 갈색털
귀 갈색+회색
특이한 아랫니 치열",,,,,,,,,,,,,,
토리,토리.jpg,,2022.09.23,수,믹스,흰색,5kg,서울/경기/인천,"서울시 구로구","구로동",안양천,,X,내장칩,"흰색 바탕 캐릭터무늬 옷
베이지색 하네스",,,"분홍색 쫑긋 귀
꼬리 말림",,,,,,,,,,,,,,
춘향,춘향.jpg,,2022.12.04,암,믹스,"크림색
갈색",6kg,충청/대전/세종,"대전시 서구","도안동",도안숲공원,,O,내장칩,"노란색조끼
야광 하네스
주황+카키색 리드줄",,,"짧은 다리
부정교합, 아래 덧니
귀쫑긋
코에 하얀점
귀 꼬리 등줄기 따라 진갈색
마지막 두 사진은 구조당시",,,,,,,,,,,,,,
레오,레오.png,,2023.04.08,수,삽살믹스,"흰색
베이지색",7kg,충청/대전/세종,"천안시","다가동",충무대로,,,내장칩,,,,"콧등 분홍반점
앉을때 왼쪽 다리 쭉 빠짐",,,,,,,,,,,,,,
바둑이,바둑이.png,,2023.05.05,수,믹스,"흰색
갈색",4kg,전라/광주,"전주시 덕진구","우아동",전주역,,,,,,,"등, 다리 점박이
꼬리 시작 부분 갈색",,,,,,,,,,,,,,
제이,제이.png,,2023.07.02,수,스탠다드푸들,"흰색
갈색
",25kg,서울/경기/인천,"용인시 처인구","고림동
유방동","코아루아파트
인정프린스아파트",,X,,"노란색 형광 목줄",,,"눈,귀 갈색
콧속 핑크색",,,,,,,,,,,,,,
아리,아리_영등포.jpg,,2023.08.03,암,믹스,"베이지
흰색",7kg,서울/경기/인천,"서울시 영등포구","양평동",선유도역,,,내장칩,,,,"왼쪽 귀 접힘
꼬리 끝 흰색
앞뒷발 흰양말",,,,,,,,,,,,,,
설,설.jpg,,2023.08.06,암,말티즈,흰색,2kg,경상/부산/울산/대구,"대구시 달성군","화원읍 명곡리",명곡미래빌4단지,,O,없음,"핑크색 하네스
핑크색 목걸이+인식번호/연락처",,,"앞니 없음
우측 눈 안보임
꼬리 끝 휘어짐
머리 땜빵 2개",,,,,,,,,,,,,,
루이,루이.png,,2023.08.22,암,믹스,갈색,6kg,서울/경기/인천,"서울시 구로구","궁동",와룡산 원각사,,O,내장칩,,,,"가슴, 뒷발 흰털
검은색 쳐진 귀",,,,,,,,,,,,,,
